hold fleet:obj
drone virtual:amod
virtual physic:conj
drone physic:amod
fleet drone:nmod
regist activ:advcl
regist uav:nsubj
retriev uav:nsubj
manag fleet:compound
regist manag:obl
regist retriev:conj
retriev assign:advcl
assign rout:obj
drone specifi:csubj
drone virtual:amod
virtual physic:conj
drone physic:amod
creat drone:nsubj
specifi creat:ccomp
runtim accord:case
runtim specifi:amod
creat runtim:obl
drone type:obj
drone check:nsubj
check avail:nmod
drone fleet:obl
drone return:nsubj
avail next:obl
return avail:amod
use fifo:obj
use recycl:xcomp
recycl drone:obj
complet drone:nsubj
return complet:advcl
complet mission:obj
return pool:obl
drone avail:amod
pool drone:nmod
