method bisect:compound
hone nvector:obl
distanc meter travel:amod
nvector distanc:acl
vector current:amod
distanc vector:obl
vector path:nmod
thought path:nsubj
thought set:obl
set vector:nmod
vector creat:acl
creat interpol:advcl
interpol current:obl
interpol target:obl
current target:conj
take code:nsubj
take advantag:obj
take find:advcl
find vector:obj
find path:obl
distanc right:amod
path distanc:acl
distanc current:amod
posit current:amod
drone posit:nsubj
posit target:compound
drone posit:iobj
drone distanc:obj
travel drone:nsubj
distanc travel:acl
travel path:obl
path current:nmod
travel target:xcomp
target path:obj
current target:nmod
